id,nom,ouverture,fermeture,ferme,station_id
1,Lundi,,,,1510003
2,Mardi,,,,1510003
3,Mercredi,,,,1510003
4,Jeudi,,,,1510003
5,Vendredi,,,,1510003
6,Samedi,,,,1510003
7,Dimanche,,,,1510003
1,Lundi,00.01,00.59,,1540001
2,Mardi,00.01,00.59,,1540001
3,Mercredi,00.01,00.59,,1540001
4,Jeudi,00.01,00.59,,1540001
5,Vendredi,00.01,00.59,,1540001
6,Samedi,00.01,00.59,,1540001
7,Dimanche,00.01,00.59,,1540001
1,Lundi,01.00,01.00,1,1540003
2,Mardi,01.00,01.00,1,1540003
3,Mercredi,01.00,01.00,1,1540003
4,Jeudi,01.00,01.00,1,1540003
5,Vendredi,01.00,01.00,1,1540003
6,Samedi,01.00,01.00,1,1540003
7,Dimanche,01.00,01.00,1,1540003
1,Lundi,,,,1560001
2,Mardi,,,,1560001
3,Mercredi,,,,1560001
4,Jeudi,,,,1560001
5,Vendredi,,,,1560001
6,Samedi,,,,1560001
7,Dimanche,,,,1560001
1,Lundi,,,,1570001
2,Mardi,,,,1570001
3,Mercredi,,,,1570001
4,Jeudi,,,,1570001
5,Vendredi,,,,1570001
6,Samedi,,,,1570001
7,Dimanche,,,,1570001
1,Lundi,,,,1590001
2,Mardi,,,,1590001
3,Mercredi,,,,1590001
4,Jeudi,,,,1590001
5,Vendredi,,,,1590001
6,Samedi,,,,1590001
7,Dimanche,,,,1590001
1,Lundi,,,,1600001
2,Mardi,,,,1600001
3,Mercredi,,,,1600001
4,Jeudi,,,,1600001
5,Vendredi,,,,1600001
6,Samedi,,,,1600001
7,Dimanche,,,,1600001
1,Lundi,08.30,19.30,,1630001
2,Mardi,08.30,19.30,,1630001
3,Mercredi,08.30,19.30,,1630001
4,Jeudi,08.30,19.30,,1630001
5,Vendredi,08.30,19.30,,1630001
6,Samedi,08.30,19.30,,1630001
7,Dimanche,08.30,12.30,,1630001
1,Lundi,,,,1640001
2,Mardi,,,,1640001
3,Mercredi,,,,1640001
4,Jeudi,,,,1640001
5,Vendredi,,,,1640001
6,Samedi,,,,1640001
7,Dimanche,,,,1640001
1,Lundi,,,,1700003
2,Mardi,,,,1700003
3,Mercredi,,,,1700003
4,Jeudi,,,,1700003
5,Vendredi,,,,1700003
6,Samedi,,,,1700003
7,Dimanche,,,,1700003
1,Lundi,09.00,19.30,,1700004
2,Mardi,09.00,19.30,,1700004
3,Mercredi,09.00,19.30,,1700004
4,Jeudi,09.00,19.30,,1700004
5,Vendredi,09.00,19.30,,1700004
6,Samedi,09.00,19.30,,1700004
7,Dimanche,01.00,01.00,1,1700004
1,Lundi,,,,1750001
2,Mardi,,,,1750001
3,Mercredi,,,,1750001
4,Jeudi,,,,1750001
5,Vendredi,,,,1750001
6,Samedi,09.00,12.00,,1750001
7,Dimanche,,,,1750001
1,Lundi,07.00,12.00,,1800002
2,Mardi,07.00,12.00,,1800002
3,Mercredi,07.00,12.00,,1800002
4,Jeudi,07.00,12.00,,1800002
5,Vendredi,07.00,12.00,,1800002
6,Samedi,,,1,1800002
7,Dimanche,,,1,1800002
1,Lundi,01.00,01.00,1,1960005
2,Mardi,01.00,01.00,1,1960005
3,Mercredi,01.00,01.00,1,1960005
4,Jeudi,01.00,01.00,1,1960005
5,Vendredi,01.00,01.00,1,1960005
6,Samedi,01.00,01.00,1,1960005
7,Dimanche,01.00,01.00,1,1960005
1,Lundi,00.00,23.59,,1960006
2,Mardi,00.00,23.59,,1960006
3,Mercredi,00.00,23.59,,1960006
4,Jeudi,00.00,23.59,,1960006
5,Vendredi,00.00,23.59,,1960006
6,Samedi,00.00,23.59,,1960006
7,Dimanche,00.00,23.59,,1960006
1,Lundi,,,1,2000002
2,Mardi,,,1,2000002
3,Mercredi,,,1,2000002
4,Jeudi,,,1,2000002
5,Vendredi,,,1,2000002
6,Samedi,,,1,2000002
7,Dimanche,,,1,2000002
1,Lundi,,,,2000003
2,Mardi,,,,2000003
3,Mercredi,,,,2000003
4,Jeudi,,,,2000003
5,Vendredi,,,,2000003
6,Samedi,,,,2000003
7,Dimanche,,,,2000003
1,Lundi,06.00,20.00,,2000005
2,Mardi,06.00,20.00,,2000005
3,Mercredi,06.00,20.00,,2000005
4,Jeudi,06.00,20.00,,2000005
5,Vendredi,06.00,20.00,,2000005
6,Samedi,08.00,20.00,,2000005
7,Dimanche,01.00,01.00,1,2000005
1,Lundi,,,,2000007
2,Mardi,,,,2000007
3,Mercredi,,,,2000007
4,Jeudi,,,,2000007
5,Vendredi,,,,2000007
6,Samedi,,,,2000007
7,Dimanche,,,,2000007
1,Lundi,,,,2000008
2,Mardi,,,,2000008
3,Mercredi,,,,2000008
4,Jeudi,,,,2000008
5,Vendredi,,,,2000008
6,Samedi,,,,2000008
7,Dimanche,,,,2000008
1,Lundi,,,,2000009
2,Mardi,,,,2000009
3,Mercredi,,,,2000009
4,Jeudi,,,,2000009
5,Vendredi,,,,2000009
6,Samedi,,,,2000009
7,Dimanche,,,,2000009
1,Lundi,06.00,21.00,,2000011
2,Mardi,06.00,21.00,,2000011
3,Mercredi,06.00,21.00,,2000011
4,Jeudi,06.00,21.00,,2000011
5,Vendredi,06.00,21.00,,2000011
6,Samedi,07.00,21.00,,2000011
7,Dimanche,08.00,20.00,,2000011
1,Lundi,09.00,16.00,,2100001
2,Mardi,,,1,2100001
3,Mercredi,09.00,16.00,,2100001
4,Jeudi,09.00,16.00,,2100001
5,Vendredi,09.00,16.00,,2100001
6,Samedi,09.00,16.00,,2100001
7,Dimanche,,,1,2100001
1,Lundi,,,,2100008
2,Mardi,,,,2100008
3,Mercredi,,,,2100008
4,Jeudi,,,,2100008
5,Vendredi,,,,2100008
6,Samedi,,,,2100008
7,Dimanche,,,,2100008
1,Lundi,09.00,12.30,,2100011
2,Mardi,09.00,12.30,,2100011
3,Mercredi,09.00,12.30,,2100011
4,Jeudi,09.00,12.30,,2100011
5,Vendredi,09.00,12.30,,2100011
6,Samedi,,,1,2100011
7,Dimanche,,,1,2100011
1,Lundi,01.00,01.00,1,2100012
2,Mardi,01.00,01.00,1,2100012
3,Mercredi,01.00,01.00,1,2100012
4,Jeudi,01.00,01.00,1,2100012
5,Vendredi,01.00,01.00,1,2100012
6,Samedi,01.00,01.00,1,2100012
7,Dimanche,01.00,01.00,1,2100012
1,Lundi,09.00,12.30,,2100018
2,Mardi,09.00,12.30,,2100018
3,Mercredi,09.00,12.30,,2100018
4,Jeudi,09.00,12.30,,2100018
5,Vendredi,09.00,12.30,,2100018
6,Samedi,,,1,2100018
7,Dimanche,,,1,2100018
1,Lundi,,,,2100020
2,Mardi,,,,2100020
3,Mercredi,,,,2100020
4,Jeudi,,,,2100020
5,Vendredi,,,,2100020
6,Samedi,,,,2100020
7,Dimanche,,,,2100020
1,Lundi,,,,2100021
2,Mardi,,,,2100021
3,Mercredi,,,,2100021
4,Jeudi,,,,2100021
5,Vendredi,,,,2100021
6,Samedi,,,,2100021
7,Dimanche,,,,2100021
1,Lundi,08.30,19.00,,2110002
2,Mardi,08.30,19.00,,2110002
3,Mercredi,08.30,19.00,,2110002
4,Jeudi,08.30,19.00,,2110002
5,Vendredi,08.30,19.00,,2110002
6,Samedi,08.30,19.00,,2110002
7,Dimanche,08.30,12.00,,2110002
1,Lundi,07.00,19.00,,2120005
2,Mardi,07.00,19.00,,2120005
3,Mercredi,07.00,19.00,,2120005
4,Jeudi,07.00,19.00,,2120005
5,Vendredi,07.00,19.00,,2120005
6,Samedi,07.00,18.00,,2120005
7,Dimanche,,,1,2120005
1,Lundi,,,,2130005
2,Mardi,,,,2130005
3,Mercredi,,,,2130005
4,Jeudi,,,,2130005
5,Vendredi,,,,2130005
6,Samedi,,,,2130005
7,Dimanche,,,,2130005
1,Lundi,,,,2140003
2,Mardi,,,,2140003
3,Mercredi,,,,2140003
4,Jeudi,,,,2140003
5,Vendredi,,,,2140003
6,Samedi,,,,2140003
7,Dimanche,,,,2140003
1,Lundi,,,,2190005
2,Mardi,,,,2190005
3,Mercredi,,,,2190005
4,Jeudi,,,,2190005
5,Vendredi,,,,2190005
6,Samedi,,,,2190005
7,Dimanche,,,,2190005
1,Lundi,08.45,12.15,,2190006
2,Mardi,08.45,12.15,,2190006
3,Mercredi,08.45,12.15,,2190006
4,Jeudi,08.45,12.15,,2190006
5,Vendredi,08.45,12.15,,2190006
6,Samedi,08.45,19.00,,2190006
7,Dimanche,09.00,12.00,,2190006
1,Lundi,,,,2200007
2,Mardi,,,,2200007
3,Mercredi,,,,2200007
4,Jeudi,,,,2200007
5,Vendredi,,,,2200007
6,Samedi,,,,2200007
7,Dimanche,,,,2200007
1,Lundi,,,,2200008
2,Mardi,,,,2200008
3,Mercredi,,,,2200008
4,Jeudi,,,,2200008
5,Vendredi,,,,2200008
6,Samedi,,,,2200008
7,Dimanche,,,,2200008
1,Lundi,07.00,20.00,,2200013
2,Mardi,07.00,20.00,,2200013
3,Mercredi,07.00,20.00,,2200013
4,Jeudi,07.00,20.00,,2200013
5,Vendredi,07.00,20.00,,2200013
6,Samedi,07.00,20.00,,2200013
7,Dimanche,08.00,20.00,,2200013
1,Lundi,06.00,21.00,,2200014
2,Mardi,06.00,21.00,,2200014
3,Mercredi,06.00,21.00,,2200014
4,Jeudi,06.00,21.00,,2200014
5,Vendredi,06.00,21.00,,2200014
6,Samedi,08.00,21.00,,2200014
7,Dimanche,08.00,21.00,,2200014
1,Lundi,06.00,21.00,,2200015
2,Mardi,06.00,21.00,,2200015
3,Mercredi,06.00,21.00,,2200015
4,Jeudi,06.00,21.00,,2200015
5,Vendredi,06.00,21.00,,2200015
6,Samedi,07.00,21.00,,2200015
7,Dimanche,07.00,21.00,,2200015
1,Lundi,,,,2210001
2,Mardi,,,,2210001
3,Mercredi,,,,2210001
4,Jeudi,,,,2210001
5,Vendredi,,,,2210001
6,Samedi,,,,2210001
7,Dimanche,,,,2210001
1,Lundi,00.00,00.00,,2220001
2,Mardi,00.00,00.00,,2220001
3,Mercredi,00.00,00.00,,2220001
4,Jeudi,00.00,00.00,,2220001
5,Vendredi,00.00,00.00,,2220001
6,Samedi,00.00,00.00,,2220001
7,Dimanche,00.00,00.00,,2220001
1,Lundi,,,,2230002
2,Mardi,,,,2230002
3,Mercredi,,,,2230002
4,Jeudi,,,,2230002
5,Vendredi,,,,2230002
6,Samedi,,,,2230002
7,Dimanche,,,,2230002
1,Lundi,08.30,19.30,,2240001
2,Mardi,08.30,19.30,,2240001
3,Mercredi,08.30,19.30,,2240001
4,Jeudi,08.30,19.30,,2240001
5,Vendredi,08.30,19.30,,2240001
6,Samedi,08.30,19.30,,2240001
7,Dimanche,09.00,12.30,,2240001
1,Lundi,07.00,19.30,,2240002
2,Mardi,07.00,19.30,,2240002
3,Mercredi,07.00,19.30,,2240002
4,Jeudi,07.00,19.30,,2240002
5,Vendredi,07.00,19.30,,2240002
6,Samedi,08.00,13.00,,2240002
7,Dimanche,,,1,2240002
1,Lundi,07.00,20.00,,2250004
2,Mardi,07.00,20.00,,2250004
3,Mercredi,07.00,20.00,,2250004
4,Jeudi,07.00,20.00,,2250004
5,Vendredi,07.00,20.00,,2250004
6,Samedi,07.00,13.00,,2250004
7,Dimanche,,,1,2250004
1,Lundi,09.00,12.30,,2260001
2,Mardi,09.00,12.30,,2260001
3,Mercredi,09.00,12.30,,2260001
4,Jeudi,09.00,12.30,,2260001
5,Vendredi,09.00,12.30,,2260001
6,Samedi,09.00,12.30,,2260001
7,Dimanche,,,1,2260001
1,Lundi,,,,2280001
2,Mardi,,,,2280001
3,Mercredi,,,,2280001
4,Jeudi,,,,2280001
5,Vendredi,,,,2280001
6,Samedi,,,,2280001
7,Dimanche,,,,2280001
1,Lundi,00.00,23.59,,2290002
2,Mardi,00.00,23.59,,2290002
3,Mercredi,00.00,23.59,,2290002
4,Jeudi,00.00,23.59,,2290002
5,Vendredi,00.00,23.59,,2290002
6,Samedi,00.00,23.59,,2290002
7,Dimanche,00.00,23.59,,2290002
1,Lundi,,,,2300001
2,Mardi,,,,2300001
3,Mercredi,,,,2300001
4,Jeudi,,,,2300001
5,Vendredi,,,,2300001
6,Samedi,,,,2300001
7,Dimanche,,,,2300001
1,Lundi,,,,2300002
2,Mardi,,,,2300002
3,Mercredi,,,,2300002
4,Jeudi,,,,2300002
5,Vendredi,,,,2300002
6,Samedi,,,,2300002
7,Dimanche,,,,2300002
1,Lundi,,,,2320001
2,Mardi,,,,2320001
3,Mercredi,,,,2320001
4,Jeudi,,,,2320001
5,Vendredi,,,,2320001
6,Samedi,,,,2320001
7,Dimanche,,,,2320001
